"","Energy","Fat","Saturated_fat","Carbohydrate","Sugars","Proteins","Salt","Sodium","Score"
"6678",4,0,0,0.2,0,0,0,0,"B"
"6688",1092,0.1,0,64,63,0.3,0,0,"C"
"6694",833,0.3,0,47,45.8,0.8,0.1,0.039,"D"
"6695",1339,24,16,1.5,0.5,25,1.6,0.63,"D"
"6702",2117,27.6,16.8,53.8,47.5,6.4,0.01,0.004,"E"
"6711",982,0.1,0.1,96,0.1,0.1,0.15,0.059,"B"
"6732",958,8.1,1.2,31,2.1,6.4,1.3,0.512,"C"
"6734",2254,31,20,56,18,9,0.4,0.157,"E"
"6735",206,0.4,0.1,8.4,0.6,2.5,0.81,0.319,"B"
"6737",402.6,3.4,1.97,85.9,0.5,7.1,0.05,0.02,"A"
"6738",1154,4.1,1,46,3.5,10,1.1,0.433,"A"
"6751",1602,11.1,2.6,61.2,40.3,7.7,0.28,0.11,"D"
"6753",426,2.1,0.3,11.4,1,8.3,1.53,0.602,"B"
"6758",0.9,0,0,0,0,0,0.02,0.008,"B"
"6769",415,0.9,0.2,18,0.5,4.3,0.81,0.319,"B"
"6771",243,0.5,0,0,0,0.5,0,0,"D"
"6772",1,0,0,0.1,0,0.1,0.01,0.004,"B"
"6773",1717,5.9,0.7,73,5.5,13,0.03,0.012,"A"
"6775",3700,100,14,0,0,0,0,0,"D"
"6776",1626,32,22,3,0.5,23,1.5,0.591,"D"
"6783",243,0.4,0.2,8.1,7.8,4.9,0.15,0.059,"A"
"6784",657,7.6,5.3,19,17,2.6,0.15,0.059,"C"
"6785",393,2.5,0.3,15.4,14.3,1.4,1.1,0.433,"C"
"6787",2268,35,3.6,50,0.9,6.8,1,0.394,"C"
"6788",1926,27,17,47,23,6.1,0.63,0.248,"D"
"6797",2180,29,17,58,30,5.6,0.48,0.189,"E"
"6802",989,13.34,1.63,19.37,0.35,7.4,0.4,0.157,"A"
"6803",1925,29.5,3.8,39.7,26.9,7,0.4,0.157,"C"
"6804",541,12.2,1.5,4.1,2,0.7,0.5,0.197,"C"
"6805",365.58,0.75,0.15,18.54,4.39,1.05,0.055,0.022,"B"
"6808",188,1.8,0.3,4,1.7,3,0.1,0.039,"A"
"6812",31,1,0,1.8,0.8,2,0,0,"A"
"6825",1761,15,3,55,20,7,0.75,0.295,"C"
"6829",2480,51,26.1,28,23.1,6.9,0,0,"D"
"6858",582,8.7,5.7,11.6,11.6,3.6,0.1,0.039,"C"
"6879",2134,28.11,19.93,57.35,5.49,5.45,0,0,"D"
"6880",1427,1.7,0.5,64,1.3,14,0.01,0.004,"A"
"6884",172,0,0,9.9,9.9,0,0.1,0.039,"E"
"6887",1602,3.9,1.7,77.6,74.1,5.3,0.46,0.181,"D"
"6898",192,1.6,1.1,4.9,4.9,3,0.12,0.047,"B"
"6900",84,0.1,0,4.8,4.8,0,0.03,0.012,"D"
"6921",749,9.5,6.6,18.6,17.8,3.4,0.18,0.071,"C"
"6923",846,10,1.9,0,0,28,1.4,0.551,"C"
"6959",1377,27,15,5.5,0.5,16,3.3,1.299,"E"
"6966",261,3.6,2.4,4.5,4.5,3,0.1,0.039,"B"
"6967",820,13.5,2.57,0.6,0.6,17.9,1.8,0.709,"D"
"6976",825,10.5,1.3,0,0,25.7,8,3.15,"D"
"6978",1901,15,7.5,70,2.6,8,1.3,0.512,"D"
"6991",805,10.6,1.64,11.6,1.7,10.11,0.59,0.232,"A"
"6993",1385,1.5,0.7,72.8,67.9,0.6,0.1,0.039,"C"
"6994",1490,2,0.8,76.4,71.6,1,0.1,0.039,"C"
"6998",845,0,0,48,44.2,0.5,0,0,"D"
"7005",308,4.2,2.9,5.1,2.3,3.9,0.08,0.031,"B"
"7023",1791,6.4,3.3,91.9,85.6,0.6,0,0,"D"
"7025",656,8.4,3.4,0.7,0.1,19.3,1.08,0.425,"C"
"7029",732,0.08,0,42.21,40.58,0.36,0,0,"C"
"7041",1418,2,0.5,64,1,14.4,1,0.394,"B"
"7043",1134,24.3,9.1,1.3,1.3,11.7,1.9,0.748,"E"
"7046",79,0,0,4.3,2.5,0,0,0,"A"
"7050",2079,34,2.7,33,31,12,0.17,0.067,"D"
"7052",820,15.3,1.7,4.5,1.24,10,1.55,0.61,"C"
"7056",335,0,0,18,2,1,1,0.394,"A"
"7058",1470,0.5,0.1,80,50,4.4,0.01,0.004,"D"
"7061",1823.9,9.9,7.6,86.2,67.1,0.6,0.26,0.102,"E"
"7063",1640,0,0,98.2,98.2,0,0,0,"D"
"7066",2238,56,8.3,5.9,5.3,2.7,2.4,0.945,"E"
"7067",356,1.8,0.5,1.3,0.5,16,2.5,0.984,"D"
"7068",1531,1.5,0.3,74,3.5,12,0.08,0.031,"A"
"7069",1464,0.1,0.1,41,6.2,46.1,1.5,0.591,"D"
"7070",678,5.7,0.6,24,14,2,0.25,0.098,"A"
"7076",1470,7,1.3,58.7,0.7,13.5,0.017,0.007,"A"
"7082",395,0.4,0.1,14.4,4.7,6.3,0.01,0.004,"A"
"7089",213,0.2,0.1,11.7,11.7,0.5,0.04,0.016,"E"
"7099",184,0.5,0.1,6.4,3.1,1.9,0.5,0.197,"A"
"7100",517,0.4,0.2,26,0.1,2.9,0.01,0.004,"A"
"7101",228,0,0,6,1.2,6,0,0,"A"
"7102",1645,4,0.6,59,10,22,0.6,0.236,"A"
"7103",164,0.1,0,6.1,1.2,1.9,0,0,"A"
"7104",132,0.1,0.1,4.3,0.3,2.5,0.01,0.004,"A"
"7105",128,0.1,0.1,5.3,2.8,0.8,0.15,0.059,"A"
"7106",143,0.5,0,3.5,1.5,2.4,0.03,0.012,"A"
"7107",45,0.1,0,1.2,0,0.4,0.44,0.173,"A"
"7108",240,0.4,0.1,8.2,0.8,2.9,0.13,0.051,"A"
"7109",240,0.4,0.1,8.2,0.8,2.9,0.13,0.051,"A"
"7110",490,1.5,0.2,21,4.5,3.4,0,0,"A"
"7111",153,0.4,0,5.7,2.9,1.6,0.04,0.016,"A"
"7112",128,0.5,0,3.5,0.9,2.4,0.07,0.028,"A"
"7113",161,0.8,0.2,2.9,0.5,3.1,0.24,0.094,"A"
"7114",161,0.8,0.2,2.9,0.5,3.1,0.24,0.094,"A"
"7115",76,0.5,0.1,0.7,0.4,1.9,0.15,0.059,"A"
"7116",249,0.2,0.1,11,5.2,2.3,0.02,0.008,"A"
"7117",674,8.3,4.1,0.5,0.1,20.9,0.2,0.079,"B"
"7137",158,0.2,0.1,6.3,0.9,1.5,0.95,0.374,"B"
"7138",630,5.5,0.9,5.9,3.6,17,1.1,0.433,"A"
"7159",1854,38,14.2,0.2,0.2,25,3.1,1.22,"E"
"7174",352,4.4,0.6,9.6,8.6,1.4,0.5,0.197,"C"
"7178",1639,11,1.2,62.2,3.3,8.8,0,0,"A"
"7181",1914,15,7.2,74,27,5,0.599,0.236,"E"
"7208",800,0.057,0.036,48.6,45.3,0.548,0.004,0.002,"C"
"7225",2067,26.1,2.6,56,3,9,1.27,0.5,"C"
"7250",18,0,0,0,0,0,0.55,0.217,"B"
"7271",1619,2,0.4,81,20,8,0.5,0.197,"B"
"7280",835,0,0,48,46.7,0.5,0,0,"D"
"7284",1880,25.6,15.9,50,25.6,5.49,0.732,0.288,"E"
"7286",27.2,0.034,0,1.31,0.207,0.034,0,0,"B"
"7287",2310,43.4,7.52,1.2,1,39,3.1,1.22,"E"
"7294",92,0.6,0.08,3.8,2.8,0.4,0.06,0.024,"B"
"7300",361,0.6,0.4,14.8,0.1,5.4,0.8,0.315,"B"
"7301",1552,3.5,0.7,70,5,12,1.5,0.591,"C"
"7303",1278,28.6,3.6,5.6,0.5,2.3,4,1.575,"D"
"7306",2189,28.5,13.16,60.53,26.77,4.97,2.6,1.024,"E"
"7311",169,0.1,0,9,8.9,0.7,0,0,"C"
"7312",1626,3.8,0.8,74,22,10,0.5,0.197,"B"
"7317",1083,1.1,0.2,54,2.2,8.8,1.2,0.472,"B"
"7320",1084,6.8,0.7,43.4,4.4,4.7,1.778,0.7,"C"
"7324",1979,42,15.3,1,1,24,3.8,1.496,"E"
"7329",873,6.1,2.7,30,1.9,8.1,1.4,0.551,"C"
"7333",146,0.6,0,5,3.6,1.6,0.8,0.315,"A"
"7355",2226,44.62,7.9,11,5.4,24.2,0,0,"D"
"7358",46,0.8,0.1,8,6,1.2,0.254,0.1,"B"
"7362",2430,41.1,18,41.3,40.7,9.7,0.12,0.047,"E"
"7368",1792,15,1.5,67,58,5.3,0,0,"D"
"7369",1875,10.5,1.5,80,65,7.2,0.08,0.031,"D"
"7370",224,31,20,55,43,6,0.3,0.118,"D"
"7371",1576,10,1.1,66,53,4,0.1,0.039,"D"
"7379",718,11,4.4,4.8,1,13,2,0.787,"D"
"7380",168,0.1,0,8.8,8.6,0.5,0,0,"C"
"7382",1527,29,19,1.5,1.5,24.5,1.4,0.551,"D"
"7391",548,9.8,1.2,1.7,1,9.2,0.8,0.315,"A"
"7394",1190,23,21,20,0,0,2.3,0.906,"E"
"7396",1121,23,8.2,1.5,1,1.4,2.1,0.827,"E"
